Rank,Name,Country,Industry,Reg_1,Reg_2,Reg_3,
1,Jeff Bezos,United States,Technology,N271DV,N758PB,,
2,Elon Musk,United States,Technology,N628TS,,,
3,Bernard Arnault,France,Consumer,F-GVMA,F-GVMI,,
4,Bill Gates,United States,Technology,N887WM,N194WM,,
5,Mark Zuckerberg,United States,Technology,,,,
6,Warren Buffett,United States,Diversified,,,,
7,Larry Page,United States,Technology,,,,
8,Sergey Brin,United States,Technology,,,,
9,Larry Ellison,United States,Technology,N817GS,,,
10,Steve Ballmer,United States,Technology,N709DS,,,
11,Francoise Bettencourt Meyers,France,Consumer,,,,
12,Amancio Ortega,Spain ,Retail,EC-LZU,,,
13,Mukesh Ambani,India,Energy,,,,
14,Charles Koch,United States,Industrial,,,,
15,Julia Flesher Koch & Family,United States,Industrial,,,,
16,Zhong Shanshan,China,Diversified,,,,
17,Gautam Adani,India,Industrial,,,,
18,Jim Walton,United States,Retail,,,,
19,Rob Walton,United States,Retail,,,,
20,Alice Walton,United States,Retail,,,,
21,Ma Huateng,China,Technology,,,,
22,MacKenzie Scott,United States,Technology,N91DB,,,
23,Carlos Slim,Mexico,Diversified,,,,
24,Francois Pinault,France,Consumer,,,,
25,Phil Knight & Family,United States,Consumer,,,,
26,Michael Dell,United States,Technology,,,,
27,Jack Ma,China,Technology,VP-CZM,,,
28,Jacqueline Badger Mars,United States,Food & Beverage,,,,
29,John Mars,United States,Food & Beverage,,,,
30,Zhang Yiming,China,Technology,,,,
31,Colin Huang,China,Technology,,,,
32,Alain Wertheimer,France,Consumer,,,,
33,Gerard Wertheimer,France,Consumer,,,,
34,Tadashi Yanai,Japan,Retail,,,,
35,Len Blavatnik,United States,Diversified,N761LE,,,
36,Giovanni Ferrero & Family,Italy,Food & Beverage,,,,
37,Miriam Adelson,United States,Entertainment,,,,
38,Klaus-Michael Kuehne,Germany,Industrial,,,,
39,Masayoshi Son,Japan,Technology,,,,
40,William Ding,China,Technology,,,,
41,Vladimir Potanin,Russia,Commodities,OE-LOK,,,
42,Li Ka-shing,Hong Kong,Real-Estate,,,,
43,Zeng Yuqun,Hong Kong,Industrial,,,,
44,Yang Huiyan,China,Real-Estate,,,,
45,Azim Premji,India,Technology,,,,
46,He Xiangjian,China,Consumer,,,,
47,Gina Rinehart,Australia,Commodities,,,,
48,Leonard Lauder,United States,Consumer,,,,
49,Dan Gilbert,United States,Real-Estate,,,,
50,Qin Yinglin,China,Food & Beverage,,,,
51,James Dyson,United Kingdom,Consumer,G-VIOF,,,
52,Vladimir Lisin,Russia,Industrial,,,,
53,Jim Ratcliffe,United Kingdom,Industrial,M-USIC,,,
54,Alexey Mordashov,Russia,Industrial,M-YSSF,,,
55,Leonid Mikhelson,Russia,Energy,N650GL,,,
56,Takemitsu Takizaki,Japan,Technology,,,,
57,Stephen Schwarzman,United States,Finance,,,,
58,Pallonji Mistry,Ireland,Industrial,,,,
59,Pang Kang,China,Food & Beverage,,,,
60,Leonardo Del Vecchio,Italy,Consumer,,,,
61,Dieter Schwarz,Germany,Retail,,,,
62,Abigail Johnson,United States,Finance,,,,
63,Jiang Rensheng,China,Health Care,,,,
64,Iris Fontbona & Family,Chile,Commodities,,,,
65,Jorge Paulo Lemann',Brazil,Food & Beverage,,,,
66,Susanne Klatten,Germany,Industrial,,,,
67,Zhang Zhidong,China,Technology,,,,
68,James Simons,United States,Finance,N773MJ,,,
69,Stefan Persson,Sweden,Retail,,,,
70,Andrew Forrest,Australia,Commodities,,,,
71,Li Xiting,Singapore,Health Care,,,,
72,Lei Jun,China,Technology,,,,
73,Lee Shau Kee,Hong Kong,Real-Estate,,,,
74,Eric Schmidt,United States,Technology,N651WE,,,
75,Shiv Nadar,India,Technology,,,,
76,Henry Cheng,Hong Kong,Retail,,,,
77,Ken Griffin,United States,Finance,N302AK,,,
78,Carl Icahn,United States,Diversified,,,,
79,Elaine Marshall,United States,Industrial,,,,
80,Laurene Powell Jobs,United States,Media & Telecom,N2N,,,
81,John Menard,United States,Retail,,,,
82,Goh Cheng Liang,Singapore,Industrial,,,,
83,Thomas Peterffy,United States,Finance,,,,
84,Stefan Quandt,Germany,Industrial,,,,
85,Sara Mota de Larrea & Family,Mexico,Commodities,,,,
86,Alisher Usmanov,Russia,Diversified,M-IABU,,,
